"ID","FSM","C1_Eng","C1_Mat","C2_Eng","C2_Mat","C3_Eng","C3_Mat","C1_Btotal","C2_Btotal","C3_Btotal","C1_AGtotal","C2_AGtotal","C3_AGtotal","C1_SCtotal","C2_SCtotal","C3_SCtotal","C1_LTtotal","C2_LTtotal","C3_LTtotal","C1_Ltotal","C2_Ltotal","C3_Ltotal"
1260,2,4,3,4,3,4,3,42,42,29,13,12,15,61,45,27,22,22,25,34,16,11
1261,1,3,3,3,3,4,4,34,28,28,14,16,14,109,51,36,31,34,23,28,11,11
1262,2,4,4,4,4,5,4,37,29,32,17,16,16,125,132,150,31,40,22,20,20,17
1263,1,4,4,4,4,4,5,34,32,31,15,20,15,94,122,36,37,31,17,28,29,7
1264,1,4,4,4,4,5,4,34,46,47,13,14,9,83,60,64,40,34,22,28,19,16
1265,1,5,5,5,5,6,6,30,34,33,17,17,16,109,66,38,40,40,21,19,9,9
1266,1,3,4,3,4,3,5,42,37,34,13,14,11,89,35,28,34,31,27,26,12,10
1267,1,4,5,4,5,6,6,31,27,44,14,17,15,80,93,66,16,37,29,42,24,27
1268,1,5,5,5,5,5,6,40,35,35,13,18,17,75,98,43,25,34,21,34,13,9
1269,2,2,2,2,2,2,2,39,40,34,16,15,11,117,126,91,22,28,24,54,8,24
1270,1,2,2,2,2,3,4,37,19,38,16,11,11,83,98,147,34,22,26,35,10,12
1271,2,5,4,5,4,7,6,41,35,32,17,14,15,76,74,57,28,40,18,67,15,19
1272,1,4,4,4,4,6,6,35,30,27,20,12,11,63,28,24,31,34,24,39,10,15
1273,1,2,1,2,1,2,2,44,41,32,14,19,16,76,78,51,13,37,27,50,9,11
1274,2,5,4,5,4,6,5,34,32,31,20,19,17,39,56,34,37,40,15,15,7,7
1275,1,4,4,4,4,4,6,36,29,32,19,15,15,102,62,47,34,40,16,23,11,13
